5,1,0,3872.42401
5,1,15,3739.524268
5,1,30,3836.310074
5,1,45,4892.184067
5,1,60,5194.404975
5,1,75,4641.170879
5,1,90,3358.408016
5,2,0,3469.0617
5,2,15,3143.390813
5,2,30,3508.4358
5,2,45,3931.289401
5,2,60,4230.095858
5,2,75,3831.845028
5,2,90,3436.217806
5,3,0,3538.642954
5,3,15,3145.429653
5,3,30,3080.850022
5,3,45,3503.770282
5,3,60,3512.699261
5,3,75,3473.631785
5,3,90,3152.262011
10,1,0,3384.167632
10,1,15,3632.847774
10,1,30,4151.372776
10,1,45,4525.760181
10,1,60,4978.480997
10,1,75,4245.040564
10,1,90,3179.0385
10,2,0,3303.7425
10,2,15,2789.369073
10,2,30,3194.592829
10,2,45,3701.54617
10,2,60,3972.072652
10,2,75,3872.740308
10,2,90,3150.374411
10,3,0,3558.357023
10,3,15,2525.214185
10,3,30,3070.902274
10,3,45,3340.380897
10,3,60,3401.446615
10,3,75,3266.003164
10,3,90,3229.045007
20,1,0,2895.064677
20,1,15,3386.339668
20,1,30,3677.720056
20,1,45,3988.82781
20,1,60,4587.591978
20,1,75,4069.6459
20,1,90,3263.6376
20,2,0,3464.306024
20,2,15,1643.584146
20,2,30,2843.233338
20,2,45,3237.956408
20,2,60,3587.275174
20,2,75,3312.627152
20,2,90,3289.703983
20,3,0,3549.283685
20,3,15,1982.613318
20,3,30,2846.976134
20,3,45,3255.548531
20,3,60,3206.967996
20,3,75,3336.879547
20,3,90,3130.110028
30,1,0,3051.686606
30,1,15,2773.088499
30,1,30,3349.555645
30,1,45,3444.972833
30,1,60,4367.102388
30,1,75,4025.189271
30,1,90,2989.0107
30,2,0,3314.492491
30,2,15,1595.459401
30,2,30,2763.830496
30,2,45,3043.692317
30,2,60,3538.599628
30,2,75,3494.180882
30,2,90,3415.027432
30,3,0,3147.676831
30,3,15,1873.631925
30,3,30,2594.938494
30,3,45,2765.591399
30,3,60,3232.589297
30,3,75,3277.430256
30,3,90,3246.598734
